expeID,plate_id,time_hhmmss,time,temperature,well,row,column,signal,value,media_key,bacteria_key,has_media,has_bacteria,is_blank,is_empty
Bactomata_Example,Plate1,0:00:00,0.0,30.0,G11,G,11,OD630,0.078,M1,MIX,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,G12,G,12,OD630,0.079,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,H1,H,1,OD630,0.095,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,H2,H,2,OD630,0.094,M2,B1,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,H3,H,3,OD630,0.095,M2,B2,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,H4,H,4,OD630,0.098,M2,B3,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,H5,H,5,OD630,0.095,M2,B4,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,H6,H,6,OD630,0.092,M2,MIX,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,H7,H,7,OD630,0.095,M2,B1,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,H8,H,8,OD630,0.093,M2,B2,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,H9,H,9,OD630,0.094,M2,B3,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,H10,H,10,OD630,0.08,M2,B4,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,H11,H,11,OD630,0.079,M2,MIX,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,H12,H,12,OD630,0.079,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,A1,A,1,OD630,0.115,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,A2,A,2,OD630,0.118,M1,B1,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,A3,A,3,OD630,0.116,M1,B2,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,A4,A,4,OD630,0.167,M1,B3,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,A5,A,5,OD630,0.118,M1,B4,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,A6,A,6,OD630,0.119,M1,MIX,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,A7,A,7,OD630,0.119,M1,B1,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,A8,A,8,OD630,0.116,M1,B2,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,A9,A,9,OD630,0.115,M1,B3,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,A10,A,10,OD630,0.12,M1,B4,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,A11,A,11,OD630,0.113,M1,MIX,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,A12,A,12,OD630,0.127,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,B1,B,1,OD630,0.124,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,B2,B,2,OD630,0.125,M2,B1,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,B3,B,3,OD630,0.125,M2,B2,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,B4,B,4,OD630,0.125,M2,B3,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,B5,B,5,OD630,0.126,M2,B4,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,B6,B,6,OD630,0.126,M2,MIX,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,B7,B,7,OD630,0.127,M2,B1,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,B8,B,8,OD630,0.127,M2,B2,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,B9,B,9,OD630,0.124,M2,B3,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,B10,B,10,OD630,0.11,M2,B4,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,B11,B,11,OD630,0.113,M2,MIX,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,B12,B,12,OD630,0.119,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,C1,C,1,OD630,0.105,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,C2,C,2,OD630,0.13,M1,B1,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,C3,C,3,OD630,0.106,M1,B2,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,C4,C,4,OD630,0.153,M1,B3,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,C5,C,5,OD630,0.106,M1,B4,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,C6,C,6,OD630,0.129,M1,MIX,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,C7,C,7,OD630,0.154,M1,B1,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,C8,C,8,OD630,0.156,M1,B2,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,C9,C,9,OD630,0.127,M1,B3,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,C10,C,10,OD630,0.115,M1,B4,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,C11,C,11,OD630,0.111,M1,MIX,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,C12,C,12,OD630,0.11,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,D1,D,1,OD630,0.11,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,D2,D,2,OD630,0.123,M2,B1,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,D3,D,3,OD630,0.112,M2,B2,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,D4,D,4,OD630,0.112,M2,B3,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,D5,D,5,OD630,0.113,M2,B4,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,D6,D,6,OD630,0.118,M2,MIX,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,D7,D,7,OD630,0.113,M2,B1,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,D8,D,8,OD630,0.111,M2,B2,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,D9,D,9,OD630,0.115,M2,B3,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,D10,D,10,OD630,0.079,M2,B4,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,D11,D,11,OD630,0.08,M2,MIX,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,D12,D,12,OD630,0.079,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,E1,E,1,OD630,0.124,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,E2,E,2,OD630,0.127,M1,B1,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,E3,E,3,OD630,0.125,M1,B2,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,E4,E,4,OD630,0.124,M1,B3,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,E5,E,5,OD630,0.119,M1,B4,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,E6,E,6,OD630,0.125,M1,MIX,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,E7,E,7,OD630,0.126,M1,B1,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,E8,E,8,OD630,0.126,M1,B2,True,True,False,False
